ID,Nom,Âge,Email,Ville,Salaire
0.0,Alice,25,alice@example.com,Paris,3000
0.07692307692307693,Bob,-5,bob@example.com,Lyon,4500
0.15384615384615385,Charlie,22,charlie@example.com,Marseille,3000
0.23076923076923078,David,25,david@example.com,Bordeaux,3200
0.3076923076923077,Eve,45,invalid_email,Toulouse,-100
0.38461538461538464,Frank,60,frank@example.com,Bordeaux,5000
0.46153846153846156,Grace,abc,grace@example.com,Lille,6000
0.5384615384615384,Hannah,29,hannah@example,Strasbourg,7000
0.6153846153846154,Isaac,33,isaac@example.com,Montpellier,NaN
0.6923076923076923,Jack,25,jack@example.com,Rennes,4800
0.7692307692307693,Kate,200,kate@example.com,Nice,5500
0.8461538461538461,Leo,38,leo@example.com,Nantes,-500
0.9230769230769231,Mike,25,mike@example.com,Dijon,3000
1.0,Nina,unknown,nina@example.com,Grenoble,6200
